Session,Inst Name,Tala,Label,Matra,Half beat,Half,Misc 1,Misc 2,Cadence,Tabla solo,Inst,Tabla,Inst Density,Tabla Density,Inst Peak,Tabla Peak,Inst Player,Tabla Player ,Chunk
PrB_Rup,Sarod,Rupak,6:5&,5,&,2,,,,TS,,47.359176,,1,,0.106347,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,06:06,6,On,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,6:6&,6,&,2,,,,TS,48.266099,,1,,0.108493,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,06:07,7,On,2,,,,TS,48.729801,,1.5,,0.090887,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,6:7&,7,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,07:01,1,On,2,,,,TS,49.547411,49.541484,1.5,0.5,0.069434,0.070571,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,7:1&,1,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,07:02,2,On,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,7:2&,2,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,07:03,3,On,2,,,,TS,,51.295024,,2.5,,0.084898,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,7:3&,3,&,2,,,,TS,,51.700791,,3,,0.086391,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,07:04,4,On,2,,,,TS,52.108928,52.094668,0.5,3.5,0.163917,0.074543,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,7:4&,4,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,07:05,5,On,2,,,,TS,52.894892,52.906825,1,3,0.074692,0.152287,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,7:5&,5,&,2,,,,TS,53.300287,,1.5,,0.07172,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,07:06,6,On,2,,,,TS,,53.718837,,4.5,,0.056505,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,7:6&,6,&,2,,,,TS,54.117022,54.064697,2.5,5.5,0.132827,0.047533,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,07:07,7,On,2,,,,TS,54.571554,54.52821,3,6,0.0959,0.075821,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,7:7&,7,&,2,,,,TS,,54.912791,,6.5,,0.127923,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,08:01,1,On,2,,,,TS,55.36104,55.309802,2.5,6,0.136978,0.136722,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,8:1&,1,&,2,,,,TS,,55.732367,,5.5,,0.107966,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,08:02,2,On,2,,,,TS,56.212532,56.145863,2,5,0.161258,0.352672,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,8:2&,2,&,2,,,,TS,,56.562835,,4.5,,0.055883,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,08:03,3,On,2,,,,TS,56.955105,56.981913,2.5,5,0.116735,0.067333,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,8:3&,3,&,2,,,,TS,,57.369544,,5,,0.100364,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,08:04,4,On,2,,,,TS,57.761522,57.726792,2.5,5.5,0.285095,0.082189,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,8:4&,4,&,2,,,,TS,,58.120654,,6,,0.15048,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,08:05,5,On,2,,,,TS,58.556401,58.525131,2.5,6,0.101941,0.128279,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,8:5&,5,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,08:06,6,On,2,,,,TS,,59.315689,,4.5,,0.117749,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,8:6&,6,&,2,,,,TS,59.701892,59.735698,1.5,5,0.124227,0.067174,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,08:07,7,On,2,,,,TS,,60.125607,,5,,0.0369,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,8:7&,7,&,2,,,,TS,,60.499449,,5.5,,0.120244,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,09:01,1,On,2,,,,TS,60.876558,60.914031,2,5,0.093443,0.049279,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,9:1&,1,&,2,,,,TS,,61.290952,,5.5,,0.171562,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,09:02,2,On,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,9:2&,2,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,09:03,3,On,2,,,,TS,62.531726,62.533442,1.5,2.5,0.086926,0.284754,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,9:3&,3,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,09:04,4,On,2,,,,TS,63.33696,,1,,0.262952,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,9:4&,4,&,2,,,,TS,,63.788985,,3.5,,0.273743,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,09:05,5,On,2,,,,TS,64.174685,,1.5,,0.140367,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,9:5&,5,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,09:06,6,On,2,,,,TS,,65.039085,,4,,0.452637,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,9:6&,6,&,2,,,,TS,65.431313,,2,,0.141663,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,09:07,7,On,2,,,,TS,65.896684,,3,,0.161935,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,9:7&,7,&,2,,,,TS,,66.28659,,4,,0.25442,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,10:01,1,On,2,,,,TS,66.689185,,2.5,,0.162338,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,10:1&,1,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,10:02,2,On,2,,,,TS,,67.541006,,4,,0.323882,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,10:2&,2,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,10:03,3,On,2,,,,TS,68.355252,,2,,0.204815,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,10:3&,3,&,2,,,,TS,68.857779,68.815725,2,4.5,0.158393,0.453055,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,10:04,4,On,2,,,,TS,69.231089,,2.5,,0.325124,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,10:4&,4,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,10:05,5,On,2,,,,TS,,70.054743,,4.5,,0.460426,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,10:5&,5,&,2,,,,TS,70.391156,,3,,0.180908,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,10:06,6,On,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,10:6&,6,&,2,,,,TS,71.231204,71.272987,2,4,0.327126,0.249707,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,10:07,7,On,2,,,,TS,71.685266,,2.5,,0.123634,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,10:7&,7,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,11:01,1,On,2,,,C,N,72.600555,72.546201,2,2.5,0.07637,0.125968,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,11:1&,1,&,2,,,,N,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,11:02,2,On,2,,,,N,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,11:2&,2,&,2,,,,N,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,11:03,3,On,2,,,,N,,74.328735,,1,,0.062759,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,11:3&,3,&,2,,,,N,,74.747615,,1.5,,0.041002,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,11:04,4,On,2,,,,N,,75.109931,,2.5,,0.128187,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,11:4&,4,&,2,,,,N,,75.557953,,3.5,,0.079107,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,11:05,5,On,2,,,,N,,75.927495,,4.5,,0.066768,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,11:5&,5,&,2,,,,N,76.329646,,0.5,,0.065026,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,11:06,6,On,2,,,,N,,76.733434,,4,,0.09996,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
